"code","name"
"DBT00949","东汉绿釉铺首衔环陶壶"
"DBT00948","春秋红陶罐"
"DBC00100","清青花瓷罐"
"DBC00024","明豆青釉瓷绣墩"
"DBJ00162","清鎏金铜佛"
"DBJ00151","清仿商铜觚"
"DBT00014","东汉彩绘坐式男陶俑"
"DBJ00028","战国鎏金铜耳杯"
"DBM00169","清木质莲花灯"
"DBT00021","东汉灰陶罐"
"DBT00010","东汉彩绘陶盒"
"DBY00007","元玉带钩"
"DBT00009","东汉三组彩绘陶鼎"
"DBT00016","北魏灰陶男俑"
"DBT00015","晋彩绘坐式女陶俑"
"DBT00013","北魏陶灶"
"DBJ00148","明铜香炉"
"DBJ00153","战国铜矛"
"DBGW00970","20世纪30年代抗日战争手枪"
"DBJ00159","汉铜磬"
"DBJ00149","汉铜熏炉"
"DBS00004","清石磬"
"DBM00171","明竹雕寿星"
"DBJ00027","明嘉靖二十六年铁瓦"
"DBS0003","清金声玉振石磬"
"DBM00170","青竹笔筒"
"DBT00067","新时期时代龙山文化双系陶壶"
"DBC00129","北宋钧窑瓷瓶"
"DBC00144","明双系开片瓷瓶"
"DBC00103","清瓷帽筒"
"DBC00123","清同治竹叶纹瓷盖碗"
"DBC00096","中华民国瓷盘"
"DBC00099","清瓷碗"
"DBT00017","东汉灰陶女俑"
"DBC00026","清道光人物故事纹七巧瓷盘"
"DBQ00351","西汉新莽布币"
"DBQ00331","春秋布币"
"DBJ00161","东汉铜镞"
"CBC00106","清嘉庆五彩瓷盘"
"DBC00108","明成化黄釉回纹瓷笔洗"
"DBC00124","清白釉瓷杯"
"DBC00109","北宋青釉瓷碗"
"DBC00112","明青釉瓷碗"
"DBY00850","清荷花玉牌"
"DBJ00157","清鎏金铜凤冠"
"DBC00117","清同治瓷碗"
"DBC00133","清青花将军罐"
"DBC00114","唐黄釉瓷碗"
"DBC00131","清道光十九年青花龙纹瓷缸"
"DBC00119","中华民国瓷壶"
"DBC00115","西晋淡黄釉双系瓷罐"
"DBC00098","清青花瓷盆"
"DBC01608","清人物瓷枕"
"DBJ00150","清仿商铜鼎"
"DBGW01088","清铁炮"
"DBC00025","唐三彩墓兽"
"DBJ00029","明铁钟"
"DBJ00154","唐乳钉纹铜镜"
"DBJ00156","明铜牛熏炉"
"DBY00054","清玛瑙花生蜜枣"
"DBT00011","东汉陶纺轮"
"DBT00068","高灰陶鬲"
"DBT00012","东汉陶拍"
"DBG00031","商骨锥"
"DBT00019","西汉陶虎子"
"DBY00058","清玛瑙花生莲藕"
"DBT00949","汉陶壶"
"DBC00110","宋石权"
"DBS00005","新石器时代石凿"
"DBJ00890","清铜马上封猴"
"DBT00064","汉彩绘陶仓"
"DBT00002","东汉彩绘女陶俑"
"DBT00001","东汉彩绘陶俑"
"DBT00018","东汉红陶彩绘卧马"
"DBC00022","清乾隆青花八开光八仙人物纹瓷觚"
"DBJ00152","青铜战戈"
"DBC01622","元白釉瓷坛"
"DBT00076","东汉彩绘陶壶"
"DBM00032","清康熙木虎威牌"
"DBC00023","宋磁州窑瓷坛"
"DBSH00033","明万历五年刻本《登科录》"
"DBS00006","北宋石造像"
"DBSH00037","清嘉庆十四年圣旨"
"DBSH00034","清秦沐山水人物图轴"
"DBSH00173","明万历十六年泊如斎藏版《博古图录》"
"L1","匾"
"DBGW00984","铁油灯"
"DBJ00145","清铜印章"
"DBC00111","清瓷杯"
"DBT01602","汉陶罐"
"DBT01600","汉陶壶"
"DBGW01188","20世纪80年代对越自卫反击战炮弹残片"
"DBGW00974","20世纪50年代抗美援朝望远镜"
"DBY00008","清道光玛瑙鼻烟壶"
"DBGW01089","20世纪30年代抗日战争大刀"
"DBC00120"," 清牡丹瓷瓶"
"DBT00095","汉彩绘陶壶"
"DBC01611","中华民国四系褐釉瓷罐"
"DBT00075","汉绿釉陶罐"
"DBC00121","清人物书法瓷瓶"
"DBC00903","清防明成化五彩双喜瓷盘"
"DBC00902","清乾隆青花瓷盘"
"DBC00903","清乾隆菊花纹瓷盘"
"DBC00143","清瓷帽筒"
"DBJ00158","清铜烟斗"